RK,Team,R,HR,RBI,SB,AVG,K,W,SVHD,ERA,WHIP
1,Schmitakuff 12,11,10,10.5,10,5,11,11,2,9,6
2,GOAT 9,10,8,7,7,7,8,7.5,6,11,9
3,GET A KLU ber,7,6,8,3,9,10,9,4,8,10
4,Still Dreamin,4,11,10.5,8,11,2,3.5,7,3,7
5,BLACK SWAMP TRIBE,5.5,7,6,9,6,3,7.5,10,5,5
6,Best Idea Ever,9,4,4,4,10,5,5.5,8,4,4
7,AL'S STARS,2,2,2,2,3,9,10,9,6,11
8,Team Whatever,5.5,9,9,6,2,4,5.5,3,7,3
9,Big Red Machine,3,1,1,5,4,6,3.5,11,10,8
10,The Henry Rowengartners,8,5,5,11,8,7,1.5,1,2,2
11,Tally Waggers,1,3,3,1,1,1,1.5,5,1,1
