RK,Team,R,HR,RBI,SB,AVG,K,W,SV,ERA,WHIP
1,BEST IDEA EVER,8,8,9,9,10,7,8,5,4,4
2,GOAT 9,9,6,5,8,8,6,4,9,8,5
3,BALL FOUR BF,5,5,4,1,5,9,7,10,10,10
4,NUETERED SEA MONKEYS,10,10,10,3,6,1,1,8,7,7
5,MY BIG UNIT,7,9,8,5.5,3,10,10,1,1,2
6,7TH INNING SCRATCH,6,4,6,4,7,5,3,3,5,9
7,BLACK SWAMP TRIBE,2,1,1,10,1,2,9,6,9,8
8,MOULTON BOBCATS,4,7,7,2,9,4,2,4,3,6
9,AL'S STARS AS,3,3,2,5.5,4,3,5.5,7,6,3
10,THUNDERSTICKS 10,1,2,3,7,2,8,5.5,2,2,1
