RK,Team,R,HR,RBI,SB,AVG,K,W,SV,ERA,WHIP
1,Black Swamp,5,6,5.5,12,7,8,12,8.5,12,12
2,Pantry Pride Phillies,10,7,7,11,9,6,4,10,11,11
3,Jeter's Gems,11,10.5,9,6,8,12,9,1,9,7
4,Kitty Kats,8,8,8,7,6,11,9,11,3,6
5,Al - Stars,12,12,12,10,12,2,3,4,1,1
6,Cincinnati Kid,9,9,11,4.5,11,7,6,2,4,4
7,Team Ikers,7,2,3.5,4.5,10,10,11,7,7,2
8,Salem Ducks,1,1,3.5,9,4,4.5,9,8.5,10,9
9,Schmita Kuff,2,3,1,8,1,9,6,5.5,8,10
10,The Donaters,3,10.5,10,1,5,1,1.5,3,5,8
11,Cloud Nine,6,4.5,2,2,2,4.5,1.5,12,6,3
12,Ding-a- lingers,4,4.5,5.5,3,3,3,6,5.5,2,5
