RK,Team,R,HR,RBI,SB,AVG,K,W,ERA,WHIP,SVHD
1,50 SHADES OF SONNY GRAY,10,9,9,9,7,2,5.5,7,7,9.5
2,GOAT 9,9,5,3.5,10,4,8,5.5,8,9,9.5
3,DIAMOND DOGS DD,3,4,5,4,6,10,8.5,10,10,7.5
4,NUETERED SEA MONKEYS,7,8,6,6,1,9,4,4,4,5
5,AL'S STARS AS,5,6,8,1,8,5,2,6,6,6
6,OpenaCano Whupass,6,7,7,2,9,4,8.5,3,2,4
7,BLACK SWAMP TRIBE,4,1,1,7,5,7,10,5,3,7.5
8,Boss Hogg,1,2,3.5,5,3,6,7,9,8,2
9,MY BIG UNIT,8,10,10,3,10,1,1,1,1,1
10,Best Idea Ever,2,3,2,8,2,3,3,2,5,3
