RK,Team,R,HR,RBI,SB,AVG,K,W,ERA,WHIP,SVHD
1,Kitty Kats,9,12,7,2,4,12,12,12,12,9
2,Al - Stars,11,9.5,11,10,12,8,9,8,6,6
3,Pantry Pride Phillies,12,9.5,12,6,8,5,3.5,10,11,12
4,B.L.M. .,10,11,10,11,1,11,10,7,7,10
5,Cincinnati Kid,7,1,3,12,9,10,11,11,9,5
6,Schmita Kuff,6,6,6,7,6,7,8,6,8,8
7,Jeter's Gems,8,3.5,4,3,5,9,7,9,10,3
8,Grand Lake Soxx,5,2,5,9,11,3,2,5,5,11
9,Jerry Lucas,4,8,9,8,7,6,6,3,4,1
10,Ding-a- lingers,3,7,8,5,3,4,3.5,1,2,4
11,Salem Ducks,2,5,1,4,2,2,5,2,3,7
12,The Donaters,1,3.5,2,1,10,1,1,4,1,2
