RK,Team,R,HR,RBI,SB,AVG,K,W,ERA,WHIP,SVHD
1,MONEY BALL,4,7.5,6,11,11,9,9,10,8,4.5
2,Schmitakuff 12,5,10,10,3,9,7,10,7,9,6
3,GET A KLU ber,7,3,4,9,2,10,6.5,11,11,9
4,Just Chillin,6,5.5,5,6,6,6,6.5,9,10,11
5,GOAT 9,11,7.5,11,8,10,5,8,4,1,4.5
6,Donaters 2 Donaters 2,9.5,11,9,1,5,11,11,6,4,2
7,Votto Matic,9.5,9,7.5,5,8,2,3.5,8,7,3
8,BLACK SWAMP TRIBE,3,5.5,7.5,2,3,8,3.5,2,6,7.5
9,The Ikkers,8,4,3,7,7,1,1.5,1,5,10
10,Team Double Dingers,2,2,2,10,1,4,1.5,5,3,7.5
11,AL'S STARS,1,1,1,4,4,3,5,3,2,1
