RK,Team,R,HR,RBI,SB,AVG,K,W,ERA,WHIP,SVHD
1,Schmitakuff 12,12,10,10,12,10,6,10.5,8,6,8
2,Donaters 2,9,11,11,1,5,11,12,11,12,2
3,Old and Slow,6,8,8,9,4,12,10.5,9,9,4.5
4,Team Meinerleaguers,11,12,12,6,8,2,2,10,3,9
5,AL STARS,2,6,7,5,9,3,8,7,8,12
5,Double Dingers,3,3,4,10,1,4,9,12,10,11
5,Greene Machine,10,9,9,8,7,10,6,1,4,3
8,GOAT 9,7,4.5,6,3,6,5,5,5,7,7
9,GET A KLU ber,5,7,5,4,3,7,7,6,5,6
10,The Ikkers,8,2,3,11,12,1,1,4,2,10
11,MONEY BALL,4,4.5,2,7,2,9,4,2,11,4.5
12,BLACK SWAMP TRIBE,1,1,1,2,11,8,3,3,1,1
