RK,Team,R,HR,RBI,SB,AVG,K,W,ERA,WHIP,SVHD
1,Kitty Kats,11,10,11,12,11,11,12,8,10,8
2,Ding-a- lingers,9.5,8,8,10,6,6,9,11,12,11
3,Pantry Pride Phillies,9.5,12,12,9,7,10,8,5,4,9
4,Creier Reier,8,6,7,7,12,9,11,10,1,2
5,Al - Stars,5,5,6,2,3,12,10,12,11,5
6,The Donaters,6,4,5,6,8,5,6,7,8,12
7,Cincinnati Kid,12,11,10,4,10,3,3,2,3,3
8,Schmita Kuff,7,9,9,8,2,7,1,6,6,1
9,Salem Ducks,3,7,4,3,5,2,4,9,9,7
10,Cloud Nine,2,3,3,5,1,8,5,3,7,6
10,Black Swamp,4,1,2,11,9,1,2,1,2,10
12,Jeter's Gems,1,2,1,1,4,4,7,4,5,4
