RK,Team,R,HR,RBI,SB,AVG,K,W,ERA,WHIP,SVHD
1,Al - Stars,12,12,12,8,12,11,12,10,9,10
2,Kitty Kats,5,7,7,5,4,12,10,11,11,8
3,Salem Ducks,11,8,11,11,11,3,4,5,3,12
4,Pantry Pride Phillies,3,9,8,7,3,5,3,12,12,11
4,Ding-a- lingers,6,6,3.5,12,6,9.5,9,6,8,7
6,Cincinnati Kid,7,3,2,6,10,9.5,11,8,7,6
7,The Donaters,10,10,9,10,7,6,8,2,2,1
8,Schmita Kuff,9,11,10,2,2,8,7,4,5,3
9,Cloud Nine,8,2,5,9,9,2,5,1,1,2
10,Riesen’s Sox,1,1,1,4,5,4,1.5,7,10,9
11,Creier Reier,4,4,6,3,1,7,6,3,4,5
12,Jeter's Gems,2,5,3.5,1,8,1,1.5,9,6,4
