RK,Team,R,HR,RBI,SB,AVG,K,W,ERA,WHIP,SVHD
1,50 SHADES OF SONNY GRAY,989,297,953,141,0.2701,1048,75,3.882,1.212,85
2,GOAT 9,982,262,838,185,0.2668,1255,75,3.672,1.173,85
3,DIAMOND DOGS DD,904,256,883,96,0.2686,1444,85,3.312,1.099,69
4,NUETERED SEA MONKEYS,960,284,911,110,0.2554,1280,74,3.957,1.278,51
5,AL'S STARS AS,941,277,950,88,0.2764,1113,70,3.922,1.261,64
6,OpenaCano Whupass,949,280,916,90,0.2886,1105,85,4.082,1.296,39
7,BLACK SWAMP TRIBE,926,233,796,111,0.2685,1182,93,3.944,1.288,69
8,Boss Hogg,862,252,838,103,0.2622,1165,83,3.498,1.191,19
9,MY BIG UNIT,976,327,1032,93,0.293,901,64,4.044,1.284,0
10,Best Idea Ever,864,253,829,115,0.26,1077,72,4.099,1.263,28
