RK,Team,R,HR,RBI,SB,AVG,K,W,ERA,WHIP,SVHD
1,Kitty Kats,1059,287,974,217,0.2714,1229,78,3.815,1.188,77
2,Ding-a- lingers,982,253,912,185,0.2595,1103,74,3.638,1.136,89
3,Pantry Pride Phillies,982,312,998,172,0.2651,1194,71,4.003,1.261,87
4,Creier Reier,940,250,908,146,0.2747,1170,76,3.698,1.3,50
5,Al - Stars,848,249,863,107,0.2471,1314,75,3.59,1.163,66
6,The Donaters,864,248,846,138,0.2677,1063,67,3.93,1.222,97
7,Cincinnati Kid,1062,302,971,129,0.2713,1010,62,4.224,1.268,63
8,Schmita Kuff,916,283,932,167,0.2469,1114,57,3.97,1.24,25
9,Salem Ducks,822,251,822,126,0.2544,925,65,3.727,1.202,71
10,Cloud Nine,766,221,771,131,0.2466,1165,66,4.18,1.227,68
10,Black Swamp,840,167,763,212,0.2691,890,60,4.352,1.295,88
12,Jeter's Gems,764,219,739,82,0.2518,1025,70,4.025,1.259,65
