RK,Team,R,HR,RBI,SB,AVG,K,W,ERA,WHIP,SVHD
1,Al - Stars,872,272,929,150,0.2706,1087,79,3.365,1.13,90
2,Kitty Kats,788,231,770,124,0.249,1143,74,3.304,1.096,64
3,Salem Ducks,865,241,878,172,0.2674,893,59,3.945,1.261,109
4,Pantry Pride Phillies,744,249,771,144,0.2443,960,58,3.254,1.061,92
4,Ding-a- lingers,796,220,728,189,0.2507,1080,72,3.747,1.162,61
6,Cincinnati Kid,822,210,725,130,0.2612,1080,76,3.601,1.164,59
7,The Donaters,851,259,806,169,0.2543,1008,71,4.147,1.267,5
8,Schmita Kuff,841,268,853,92,0.2438,1051,68,3.969,1.222,48
9,Cloud Nine,839,191,740,167,0.2562,875,63,4.223,1.336,40
10,Riesen’s Sox,714,174,688,119,0.2496,940,48,3.705,1.118,82
11,Creier Reier,763,216,741,113,0.2437,1025,64,4.111,1.24,57
12,Jeter's Gems,722,217,728,68,0.2557,838,48,3.586,1.166,51
